,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
133,"Therefore I Am","Billie Eilish",10637,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
134,"Maktoob Ma Artah","Ahmed Al Maslawi",10590,https://open.spotify.com/track/2YKeexcZTaMatMTfts9SmG
135,"شمس سطعت والجو جميل هذا اليوم","DJ Smemo",10582,https://open.spotify.com/track/2BqnjMsHZabgtuHoWjPtR7
136,سكر,DJ-MK,10550,https://open.spotify.com/track/5wR4u7mKqIhtTDFdITi1wx
137,"Film out",BTS,10545,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
138,"حنا جنود المملكة","Majed Alrslani",10544,https://open.spotify.com/track/6VNgrB8Z3bIUDTDYcZIbeZ
139,"بمشيها بمزاجي","Mohamed Al Shehhi",10527,https://open.spotify.com/track/4lSfFjPy7r3DFX20OFDGTa
140,"Life Is Good (feat. Drake)",Future,10482,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
141,"Watermelon Sugar","Harry Styles",10367,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
142,"Hayatak Fi Sora","Mohamed Hamaki",10209,https://open.spotify.com/track/5v5DvfdykdjmzgA3t9pnGg
143,34+35,"Ariana Grande",10167,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
144,"Best Friend (feat. Doja Cat)",Saweetie,9996,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
145,"100 Bars",Klash,9995,https://open.spotify.com/track/2P6oyDVAxLxz9Hajf6Vsp1
146,"bad guy","Billie Eilish",9963,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
147,Tokyo,Leat'eq,9952,https://open.spotify.com/track/2Anpk7AihEt38POoMEDqRb
148,"How You Like That",BLACKPINK,9897,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
149,"Sugar Daddy","Qveen Herby",9869,https://open.spotify.com/track/2ViSWfhT0kvEulXA1HH7Wk
150,"Look At Me!",XXXTENTACION,9848,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
151,"بسمة حزين","Abdullah Al Farwan",9841,https://open.spotify.com/track/36sx8WcX9rvzKmIPqPVRVU
152,"you broke me first","Tate McRae",9781,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
153,"يوم شافوه مقبل جتهم القشعرير",Khaliji,9643,https://open.spotify.com/track/5AYEA7TFoyBqPSocIzItXT
154,"Ya Abyad Ya Eswed",Cairokee,9614,https://open.spotify.com/track/7MJGLlPFKG1g2p4Sa5gZog
155,"Spicy (feat. Post Malone)","Ty Dolla $ign",9575,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
156,"Heat Waves","Glass Animals",9563,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
157,"The Business",Tiësto,9535,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
158,"Good Days",SZA,9511,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
159,"Life Goes On",BTS,9486,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
160,"Party Girl",StaySolidRocky,9475,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
161,Unstoppable,Sia,9422,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
162,"Everybody Dies In Their Nightmares",XXXTENTACION,9421,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
163,"Play Date","Melanie Martinez",9368,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
164,"Love Is Gone - Acoustic",SLANDER,9267,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
165,Demons,"Imagine Dragons",9156,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR
166,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",9116,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
