,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
92,Ouly,"Ahmed Kamel",10563,https://open.spotify.com/track/57c8QZu8dUXccqksQWp6b8
93,Goal,"Abo El Anwar",10459,https://open.spotify.com/track/5zR3Df2nGXxPNjBQMJmE2k
94,Ghalba,"Abo El Anwar",10343,https://open.spotify.com/track/2101nlOflwj7dNOpa4PzUO
95,"Ya Ro7",Batistuta,10308,https://open.spotify.com/track/1ggcIKvPgKU43HGGdMOhuJ
96,"صاحبي من غبائه","Mody Amin",10289,https://open.spotify.com/track/3RLpfYSIQlW1YI6bIexpUy
97,"deja vu","Olivia Rodrigo",10269,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
98,Hope,XXXTENTACION,10180,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
99,"Basha E3temed",Abyusif,10179,https://open.spotify.com/track/4QrQgRLngf3cKoEdu3s6RH
100,"Mood (feat. iann dior)",24kGoldn,10140,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
101,SAD!,XXXTENTACION,10099,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
102,"(تجار حرام (مع ويجز","DJ Totti",10062,https://open.spotify.com/track/0LmhNHemXk95xQGdT9pBPr
103,"علي راحتي",Wegz,9997,https://open.spotify.com/track/7ovuIttxBRyuJepLizxnbJ
104,"Someone You Loved","Lewis Capaldi",9923,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
105,"Kan Lak Ma'aya (Feat. Umm Kulthum)",Cairokee,9905,https://open.spotify.com/track/6EVt050wg9TQv9HpSn0Ke3
106,"نهاية العالم","Marwan Moussa",9874,https://open.spotify.com/track/1UBV1JRYrzWwzmFsEQq3Ea
107,"كدا كدا",Wegz,9805,https://open.spotify.com/track/6nwosrtgAwdJghlDpqeKtM
108,Falling,"Trevor Daniel",9699,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
109,"Wa7ed Wa7ed",Abyusif,9637,https://open.spotify.com/track/3LGjJIBJVbPOeuYcYQUJBy
110,goosebumps,"Travis Scott",9631,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
111,SugarCrash!,ElyOtto,9630,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
112,Moonlight,XXXTENTACION,9604,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
113,Up,"Cardi B",9581,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
114,"Hayatak Fi Sora","Mohamed Hamaki",9482,https://open.spotify.com/track/5v5DvfdykdjmzgA3t9pnGg
115,"كان نفسي",Wegz,9414,https://open.spotify.com/track/4AvJP6kNoa6Cua3cqlZmCm
116,"Sugar Daddy","Qveen Herby",9384,https://open.spotify.com/track/2ViSWfhT0kvEulXA1HH7Wk
117,"Elnaw Wy","Ahmed Santa",9294,https://open.spotify.com/track/41T7aUVQieLWoWfrcMYJKr
118,"Let Me Down Slowly","Alec Benjamin",9259,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
119,"SICKO MODE","Travis Scott",9171,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
120,"ستفلي فلوسي",Shehab,9166,https://open.spotify.com/track/7cIYAXTyHq64VdRo1INRbZ
121,Folklor,"Marwan Pablo",9163,https://open.spotify.com/track/6e9POsatLdTrXO4j5Y9nxd
